dataset, predicted category, actual category, true_positive, score, gt confidence, lt confidence
1, 1, 3, 0, 3.9008682, 0.9799599198396793, 0.0
1, 1, 4, 0, 4.3958087, 0.9809428284854563, 0.0
1, 1, 1, 1, 4.467089, 0.9819277108433735, 0.3333333333333333
1, 1, 10, 0, 4.7159104, 0.9819095477386934, 0.25
1, 1, 8, 0, 5.1421137, 0.9828973843058351, 0.2
1, 1, 8, 0, 5.2236342, 0.9838872104733132, 0.16666666666666666
1, 1, 9, 0, 5.235152, 0.9848790322580645, 0.14285714285714285
1, 1, 1, 1, 5.3431616, 0.9858728557013118, 0.25
1, 1, 1, 1, 6.1690745, 0.9858585858585859, 0.3333333333333333
1, 1, 6, 0, 6.2462416, 0.9858442871587462, 0.3
1, 1, 1, 1, 6.410298, 0.9868421052631579, 0.36363636363636365
1, 1, 1, 1, 6.425734, 0.9868287740628167, 0.4166666666666667
1, 1, 10, 0, 6.697878, 0.986815415821501, 0.38461538461538464
1, 1, 7, 0, 6.7800865, 0.9878172588832488, 0.35714285714285715
1, 1, 6, 0, 7.0934963, 0.9888211382113821, 0.3333333333333333
1, 1, 1, 1, 7.7879405, 0.9898270600203459, 0.375
1, 1, 1, 1, 7.874031, 0.9898167006109979, 0.4117647058823529
1, 1, 10, 0, 8.20442, 0.9898063200815495, 0.3888888888888889
1, 1, 1, 1, 8.376045, 0.9908163265306122, 0.42105263157894735
1, 1, 4, 0, 8.407697, 0.9908069458631257, 0.4
1, 1, 1, 1, 8.499541, 0.9918200408997955, 0.42857142857142855
1, 1, 1, 1, 8.653301, 0.9918116683725691, 0.45454545454545453
1, 1, 9, 0, 8.796925, 0.9918032786885246, 0.43478260869565216
1, 1, 1, 1, 8.833057, 0.9928205128205129, 0.4583333333333333
1, 1, 4, 0, 8.876573, 0.9928131416837782, 0.44
1, 1, 1, 1, 8.899709, 0.9938335046248715, 0.46153846153846156
1, 1, 4, 0, 9.064004, 0.9938271604938271, 0.4444444444444444
1, 1, 1, 1, 9.160823, 0.9948506694129763, 0.4642857142857143
1, 1, 1, 1, 9.167137, 0.9948453608247423, 0.4827586206896552
1, 1, 1, 1, 9.167177, 0.9948400412796697, 0.5
1, 1, 1, 1, 9.232544, 0.9948347107438017, 0.5161290322580645
1, 1, 1, 1, 9.293487, 0.9948293691830403, 0.53125
1, 1, 1, 1, 9.298263, 0.994824016563147, 0.5454545454545454
1, 1, 1, 1, 9.320241, 0.9948186528497409, 0.5588235294117647
1, 1, 1, 1, 9.386019, 0.9948132780082988, 0.5714285714285714
1, 1, 1, 1, 9.424428, 0.9948078920041536, 0.5833333333333334
1, 1, 1, 1, 9.509185, 0.9948024948024948, 0.5945945945945946
1, 1, 7, 0, 9.532153, 0.9947970863683663, 0.5789473684210527
1, 1, 1, 1, 9.555348, 0.9958333333333333, 0.5897435897435898
1, 1, 1, 1, 9.597819, 0.9958289885297185, 0.6
1, 1, 1, 1, 9.630123, 0.9958246346555324, 0.6097560975609756
1, 1, 1, 1, 9.684104, 0.9958202716823407, 0.6190476190476191
1, 1, 1, 1, 9.743996, 0.99581589958159, 0.627906976744186
1, 1, 1, 1, 9.757197, 0.9958115183246073, 0.6363636363636364
1, 1, 1, 1, 9.782112, 0.9958071278825996, 0.6444444444444445
1, 1, 1, 1, 9.786667, 0.9958027282266527, 0.6521739130434783
1, 1, 1, 1, 9.797116, 0.9957983193277311, 0.6595744680851063
1, 1, 1, 1, 9.831509, 0.9957939011566772, 0.6666666666666666
1, 1, 1, 1, 9.832635, 0.9957894736842106, 0.673469387755102
1, 1, 1, 1, 9.865279, 0.9957850368809273, 0.68
1, 1, 1, 1, 9.866806, 0.9957805907172996, 0.6862745098039216
1, 1, 1, 1, 9.894402, 0.9957761351636748, 0.6923076923076923
1, 1, 1, 1, 9.904647, 0.9957716701902748, 0.6981132075471698
1, 1, 1, 1, 9.910059, 0.9957671957671957, 0.7037037037037037
1, 1, 1, 1, 9.911407, 0.9957627118644068, 0.7090909090909091
1, 1, 1, 1, 9.913673, 0.9957582184517497, 0.7142857142857143
1, 1, 1, 1, 9.925636, 0.9957537154989384, 0.7192982456140351
1, 1, 1, 1, 9.936071, 0.9957492029755579, 0.7241379310344828
1, 1, 1, 1, 9.941128, 0.9957446808510638, 0.7288135593220338
1, 1, 1, 1, 9.94433, 0.9957401490947817, 0.7333333333333333
1, 1, 1, 1, 9.947821, 0.9957356076759062, 0.7377049180327869
