greater_than, category, ks, alpha
1, 1, 0.01996886039560708, 1.315615804457652
1, 2, 0.026062845391589762, 0.9160582824478308
1, 3, 0.032173778816869336, 0.5627710483928989
1, 4, 0.0, 2.0
1, 5, 0.0, 2.0
1, 6, 0.03839650940823558, 0.2800578960740728
1, 7, 0.021085587645548243, 1.243001980469773
1, 8, 0.023975634082694208, 1.0725810714639123
1, 9, 0.03531600521572498, 0.42848101539200517
1, 10, 0.024218923629387934, 0.6762578094623306
0, 1, 0.3, 3.5877330759963146e-16
0, 2, 0.2, 3.5877330759963146e-16
0, 3, 0.65, 3.5877330759963146e-16
0, 4, 0.0, 2.0
0, 5, 1.0, 2.0
0, 6, 0.24444444444444444, 3.5877330759963146e-16
0, 7, 0.14285714285714285, 6.600513587733075e-10
0, 8, 0.1388888888888889, 1.660604358773306e-9
0, 9, 0.09879032258064516, 1.1623021995358761e-5
0, 10, 0.3333333333333333, 3.5877330759963146e-16
