dataset, predicted category, actual category, true_positive, score, gt confidence, lt confidence
1, 1, 6, 0, 2.4292104, 0.9220404234841193, 0.0
1, 1, 9, 0, 2.6333082, 0.9229287090558767, 0.0
1, 1, 5, 0, 2.682872, 0.9238187078109933, 0.0
1, 1, 6, 0, 2.81131, 0.9247104247104247, 0.0
1, 1, 1, 1, 3.3446476, 0.9256038647342996, 0.2
1, 1, 4, 0, 3.465611, 0.925531914893617, 0.16666666666666666
1, 1, 5, 0, 3.4937787, 0.9264278799612778, 0.14285714285714285
1, 1, 5, 0, 3.72463, 0.9273255813953488, 0.125
1, 1, 1, 1, 3.7483377, 0.9282250242483027, 0.2222222222222222
1, 1, 1, 1, 3.8596125, 0.9281553398058252, 0.3
1, 1, 1, 1, 3.9050522, 0.9280855199222546, 0.36363636363636365
1, 1, 6, 0, 3.9345832, 0.9280155642023347, 0.3333333333333333
1, 1, 6, 0, 3.9652774, 0.928919182083739, 0.3076923076923077
1, 1, 5, 0, 3.983318, 0.9298245614035088, 0.2857142857142857
1, 1, 9, 0, 4.111086, 0.9307317073170732, 0.26666666666666666
1, 1, 5, 0, 4.1194415, 0.931640625, 0.25
1, 1, 6, 0, 4.1558294, 0.9325513196480938, 0.23529411764705882
1, 1, 6, 0, 4.20726, 0.9334637964774951, 0.2222222222222222
1, 1, 4, 0, 4.258036, 0.9343780607247796, 0.21052631578947367
1, 1, 10, 0, 4.2868342, 0.9352941176470588, 0.2
1, 1, 1, 1, 4.316224, 0.9362119725220804, 0.23809523809523808
1, 1, 4, 0, 4.3606987, 0.9361493123772102, 0.22727272727272727
1, 1, 1, 1, 4.3849854, 0.9370698131760079, 0.2608695652173913
1, 1, 4, 0, 4.403803, 0.937007874015748, 0.25
1, 1, 4, 0, 4.4528894, 0.9379310344827586, 0.24
1, 1, 4, 0, 4.4814305, 0.9388560157790927, 0.23076923076923078
1, 1, 6, 0, 4.500106, 0.9397828232971372, 0.2222222222222222
1, 1, 1, 1, 4.5222106, 0.9407114624505929, 0.25
1, 1, 1, 1, 4.528053, 0.9406528189910979, 0.27586206896551724
1, 1, 6, 0, 4.5590506, 0.9405940594059405, 0.26666666666666666
1, 1, 5, 0, 4.5651984, 0.9415262636273538, 0.25806451612903225
1, 1, 5, 0, 4.576206, 0.9424603174603174, 0.25
1, 1, 1, 1, 4.578024, 0.9433962264150944, 0.2727272727272727
1, 1, 6, 0, 4.5974293, 0.9433399602385686, 0.2647058823529412
1, 1, 6, 0, 4.6612573, 0.9442786069651742, 0.2571428571428571
1, 1, 1, 1, 4.746045, 0.9452191235059761, 0.2777777777777778
1, 1, 8, 0, 4.8316164, 0.9451645064805583, 0.2702702702702703
1, 1, 1, 1, 4.831825, 0.9461077844311377, 0.2894736842105263
1, 1, 4, 0, 4.8351407, 0.9460539460539461, 0.28205128205128205
1, 1, 1, 1, 4.842416, 0.947, 0.3
1, 1, 9, 0, 4.8742747, 0.9469469469469469, 0.2926829268292683
1, 1, 1, 1, 4.918245, 0.9478957915831663, 0.30952380952380953
1, 1, 1, 1, 4.9346304, 0.9478435305917753, 0.32558139534883723
1, 1, 6, 0, 4.9932303, 0.9477911646586346, 0.3181818181818182
1, 1, 1, 1, 5.0043015, 0.9487437185929648, 0.3333333333333333
1, 1, 1, 1, 5.1174297, 0.9486921529175051, 0.34782608695652173
1, 1, 8, 0, 5.125155, 0.9486404833836858, 0.3404255319148936
1, 1, 7, 0, 5.1704803, 0.9495967741935484, 0.3333333333333333
1, 1, 1, 1, 5.170601, 0.9505549949545913, 0.3469387755102041
1, 1, 3, 0, 5.174651, 0.9505050505050505, 0.34
1, 1, 8, 0, 5.1855874, 0.9514661274014156, 0.3333333333333333
1, 1, 1, 1, 5.188327, 0.9524291497975709, 0.34615384615384615
1, 1, 9, 0, 5.229665, 0.9523809523809523, 0.33962264150943394
1, 1, 1, 1, 5.2297144, 0.9533468559837728, 0.35185185185185186
1, 1, 4, 0, 5.2511544, 0.9532994923857868, 0.34545454545454546
1, 1, 1, 1, 5.277433, 0.9542682926829268, 0.35714285714285715
1, 1, 9, 0, 5.3780704, 0.9542217700915565, 0.3508771929824561
1, 1, 1, 1, 5.3913913, 0.955193482688391, 0.3620689655172414
1, 1, 5, 0, 5.410747, 0.9551478083588175, 0.3559322033898305
1, 1, 4, 0, 5.4352818, 0.9561224489795919, 0.35
1, 1, 1, 1, 5.5712767, 0.9570990806945863, 0.36065573770491804
1, 1, 1, 1, 5.6080647, 0.9570552147239264, 0.3709677419354839
1, 1, 1, 1, 5.6565638, 0.9570112589559877, 0.38095238095238093
1, 1, 8, 0, 5.744191, 0.9569672131147541, 0.375
1, 1, 1, 1, 5.7470126, 0.9579487179487179, 0.38461538461538464
1, 1, 6, 0, 5.7646275, 0.9579055441478439, 0.3787878787878788
1, 1, 1, 1, 5.8160887, 0.9588900308324769, 0.3880597014925373
1, 1, 1, 1, 5.9021506, 0.9588477366255144, 0.39705882352941174
1, 1, 6, 0, 5.961716, 0.9588053553038105, 0.391304347826087
1, 1, 3, 0, 5.9643493, 0.9597938144329897, 0.38571428571428573
1, 1, 1, 1, 5.9866195, 0.9607843137254902, 0.39436619718309857
1, 1, 4, 0, 6.0075865, 0.9607438016528925, 0.3888888888888889
1, 1, 4, 0, 6.0423203, 0.9617373319544984, 0.3835616438356164
1, 1, 4, 0, 6.0784183, 0.9627329192546584, 0.3783783783783784
1, 1, 1, 1, 6.08852, 0.9637305699481865, 0.38666666666666666
1, 1, 4, 0, 6.1526356, 0.9636929460580913, 0.3815789473684211
1, 1, 1, 1, 6.2454896, 0.9646936656282451, 0.38961038961038963
1, 1, 4, 0, 6.253282, 0.9646569646569647, 0.38461538461538464
1, 1, 1, 1, 6.2607, 0.9656607700312175, 0.3924050632911392
1, 1, 1, 1, 6.290921, 0.965625, 0.4
1, 1, 4, 0, 6.2975736, 0.9655891553701773, 0.3950617283950617
1, 1, 7, 0, 6.347764, 0.9665970772442589, 0.3902439024390244
1, 1, 8, 0, 6.352189, 0.96760710553814, 0.3855421686746988
1, 1, 1, 1, 6.3714633, 0.9686192468619247, 0.39285714285714285
1, 1, 6, 0, 6.489724, 0.9685863874345549, 0.38823529411764707
1, 1, 1, 1, 6.642435, 0.9696016771488469, 0.3953488372093023
1, 1, 1, 1, 6.662123, 0.9695697796432319, 0.40229885057471265
1, 1, 6, 0, 6.7632723, 0.9695378151260504, 0.3977272727272727
1, 1, 1, 1, 6.785791, 0.9705573080967402, 0.4044943820224719
1, 1, 7, 0, 6.844795, 0.9705263157894737, 0.4
1, 1, 1, 1, 6.883793, 0.9715489989462592, 0.4065934065934066
1, 1, 8, 0, 6.954091, 0.9715189873417721, 0.40217391304347827
1, 1, 9, 0, 7.006252, 0.9725448785638859, 0.3978494623655914
1, 1, 6, 0, 7.0406833, 0.9735729386892178, 0.39361702127659576
1, 1, 4, 0, 7.1474757, 0.9746031746031746, 0.3894736842105263
1, 1, 1, 1, 7.2087183, 0.975635593220339, 0.3958333333333333
1, 1, 1, 1, 7.214124, 0.975609756097561, 0.4020618556701031
1, 1, 1, 1, 7.275871, 0.975583864118896, 0.40816326530612246
1, 1, 1, 1, 7.3386674, 0.975557917109458, 0.41414141414141414
1, 1, 1, 1, 7.392809, 0.975531914893617, 0.42
1, 1, 4, 0, 7.405192, 0.9755058572949947, 0.4158415841584158
1, 1, 1, 1, 7.4092684, 0.976545842217484, 0.4215686274509804
1, 1, 10, 0, 7.4171515, 0.9765208110992529, 0.4174757281553398
1, 1, 1, 1, 7.4394116, 0.9775641025641025, 0.4230769230769231
1, 1, 1, 1, 7.455489, 0.9775401069518717, 0.42857142857142855
1, 1, 4, 0, 7.4800816, 0.9775160599571735, 0.42452830188679247
1, 1, 3, 0, 7.496984, 0.9785637727759914, 0.4205607476635514
1, 1, 1, 1, 7.564989, 0.9796137339055794, 0.42592592592592593
1, 1, 7, 0, 7.5755243, 0.9795918367346939, 0.42201834862385323
1, 1, 1, 1, 7.5783377, 0.9806451612903225, 0.42727272727272725
1, 1, 6, 0, 7.604532, 0.9806243272335845, 0.42342342342342343
1, 1, 1, 1, 7.6353264, 0.9816810344827587, 0.42857142857142855
1, 1, 1, 1, 7.6629214, 0.9816612729234089, 0.4336283185840708
1, 1, 1, 1, 7.664227, 0.9816414686825053, 0.43859649122807015
1, 1, 1, 1, 7.7029657, 0.9816216216216216, 0.4434782608695652
1, 1, 3, 0, 7.729637, 0.9816017316017316, 0.4396551724137931
1, 1, 10, 0, 7.730388, 0.9826652221018418, 0.4358974358974359
1, 1, 8, 0, 7.740047, 0.9837310195227765, 0.4322033898305085
1, 1, 1, 1, 7.8135524, 0.9847991313789359, 0.4369747899159664
1, 1, 1, 1, 7.8251433, 0.9847826086956522, 0.44166666666666665
1, 1, 1, 1, 7.932024, 0.984766050054407, 0.4462809917355372
1, 1, 1, 1, 7.939038, 0.9847494553376906, 0.45081967213114754
1, 1, 1, 1, 7.9466596, 0.9847328244274809, 0.45528455284552843
1, 1, 1, 1, 7.9509616, 0.9847161572052402, 0.4596774193548387
1, 1, 1, 1, 7.96256, 0.9846994535519126, 0.464
1, 1, 1, 1, 7.973403, 0.9846827133479212, 0.46825396825396826
1, 1, 1, 1, 7.976156, 0.9846659364731654, 0.47244094488188976
1, 1, 1, 1, 7.979359, 0.9846491228070176, 0.4765625
1, 1, 9, 0, 7.9813595, 0.9846322722283205, 0.4728682170542636
1, 1, 1, 1, 8.062027, 0.9857142857142858, 0.47692307692307695
1, 1, 1, 1, 8.13269, 0.9856985698569857, 0.48091603053435117
1, 1, 1, 1, 8.163285, 0.98568281938326, 0.48484848484848486
1, 1, 1, 1, 8.191101, 0.9856670341786108, 0.48872180451127817
1, 1, 1, 1, 8.241477, 0.9856512141280354, 0.4925373134328358
1, 1, 1, 1, 8.249453, 0.9856353591160221, 0.4962962962962963
1, 1, 4, 0, 8.264125, 0.9856194690265486, 0.49264705882352944
1, 1, 1, 1, 8.282345, 0.9867109634551495, 0.49635036496350365
1, 1, 4, 0, 8.294163, 0.9866962305986696, 0.4927536231884058
1, 1, 1, 1, 8.303534, 0.9877913429522752, 0.49640287769784175
1, 1, 1, 1, 8.318494, 0.9877777777777778, 0.5
1, 1, 1, 1, 8.321086, 0.9877641824249166, 0.5035460992907801
1, 1, 1, 1, 8.364683, 0.987750556792873, 0.5070422535211268
1, 1, 1, 1, 8.371894, 0.987736900780379, 0.5104895104895105
1, 1, 1, 1, 8.381356, 0.9877232142857143, 0.5138888888888888
1, 1, 1, 1, 8.394862, 0.9877094972067039, 0.5172413793103449
1, 1, 1, 1, 8.425577, 0.9876957494407159, 0.5205479452054794
1, 1, 1, 1, 8.425713, 0.9876819708846585, 0.5238095238095238
1, 1, 1, 1, 8.427236, 0.9876681614349776, 0.527027027027027
1, 1, 1, 1, 8.440307, 0.9876543209876543, 0.5302013422818792
1, 1, 1, 1, 8.470275, 0.9876404494382023, 0.5333333333333333
1, 1, 1, 1, 8.470355, 0.9876265466816648, 0.5364238410596026
1, 1, 1, 1, 8.496369, 0.9876126126126126, 0.5394736842105263
1, 1, 1, 1, 8.50394, 0.9875986471251409, 0.5424836601307189
1, 1, 1, 1, 8.5042715, 0.9875846501128668, 0.5454545454545454
1, 1, 1, 1, 8.527241, 0.9875706214689266, 0.5483870967741935
1, 1, 1, 1, 8.52986, 0.9875565610859729, 0.5512820512820513
1, 1, 1, 1, 8.54262, 0.9875424688561721, 0.554140127388535
1, 1, 1, 1, 8.548335, 0.9875283446712018, 0.5569620253164557
1, 1, 1, 1, 8.59761, 0.9875141884222475, 0.559748427672956
1, 1, 1, 1, 8.623959, 0.9875, 0.5625
1, 1, 1, 1, 8.628323, 0.987485779294653, 0.5652173913043478
1, 1, 1, 1, 8.632621, 0.9874715261958997, 0.5679012345679012
1, 1, 1, 1, 8.637467, 0.9874572405929305, 0.5705521472392638
1, 1, 1, 1, 8.638114, 0.9874429223744292, 0.573170731707317
1, 1, 1, 1, 8.642099, 0.9874285714285714, 0.5757575757575758
1, 1, 1, 1, 8.665284, 0.9874141876430206, 0.5783132530120482
1, 1, 1, 1, 8.674871, 0.9873997709049256, 0.5808383233532934
1, 1, 1, 1, 8.691629, 0.9873853211009175, 0.5833333333333334
1, 1, 6, 0, 8.693674, 0.9873708381171068, 0.5798816568047337
1, 1, 1, 1, 8.717439, 0.9885057471264368, 0.5823529411764706
1, 1, 1, 1, 8.726839, 0.9884925201380897, 0.5847953216374269
1, 1, 10, 0, 8.732593, 0.988479262672811, 0.5813953488372093
1, 1, 1, 1, 8.73329, 0.9896193771626297, 0.5838150289017341
1, 1, 1, 1, 8.741767, 0.9896073903002309, 0.5862068965517241
1, 1, 1, 1, 8.750666, 0.9895953757225433, 0.5885714285714285
1, 1, 4, 0, 8.77619, 0.9895833333333334, 0.5852272727272727
1, 1, 1, 1, 8.779075, 0.9907300115874855, 0.5875706214689266
1, 1, 1, 1, 8.787855, 0.9907192575406032, 0.5898876404494382
1, 1, 1, 1, 8.829905, 0.9907084785133565, 0.5921787709497207
1, 1, 8, 0, 8.83661, 0.9906976744186047, 0.5888888888888889
1, 1, 1, 1, 8.841656, 0.9918509895227008, 0.5911602209944752
1, 1, 1, 1, 8.855226, 0.9918414918414918, 0.5934065934065934
1, 1, 1, 1, 8.860796, 0.9918319719953326, 0.5956284153005464
1, 1, 1, 1, 8.866014, 0.991822429906542, 0.5978260869565217
1, 1, 1, 1, 8.86897, 0.991812865497076, 0.6
1, 1, 1, 1, 8.882501, 0.9918032786885246, 0.6021505376344086
1, 1, 1, 1, 8.888561, 0.9917936694021102, 0.6042780748663101
1, 1, 1, 1, 8.892608, 0.9917840375586855, 0.6063829787234043
1, 1, 1, 1, 8.919386, 0.9917743830787309, 0.6084656084656085
1, 1, 1, 1, 8.919818, 0.991764705882353, 0.6105263157894737
1, 1, 1, 1, 8.928883, 0.9917550058892816, 0.612565445026178
1, 1, 1, 1, 8.944083, 0.9917452830188679, 0.6145833333333334
1, 1, 1, 1, 8.958985, 0.9917355371900827, 0.616580310880829
1, 1, 9, 0, 8.974183, 0.991725768321513, 0.6134020618556701
1, 1, 1, 1, 8.97792, 0.9928994082840237, 0.6153846153846154
1, 1, 1, 1, 8.986704, 0.9928909952606635, 0.6173469387755102
1, 1, 1, 1, 8.991816, 0.9928825622775801, 0.6192893401015228
1, 1, 1, 1, 8.996654, 0.9928741092636579, 0.6212121212121212
1, 1, 1, 1, 9.009001, 0.9928656361474435, 0.6231155778894473
1, 1, 1, 1, 9.030019, 0.9928571428571429, 0.625
1, 1, 1, 1, 9.03419, 0.9928486293206198, 0.6268656716417911
1, 1, 1, 1, 9.047287, 0.9928400954653938, 0.6287128712871287
1, 1, 1, 1, 9.052085, 0.992831541218638, 0.6305418719211823
1, 1, 1, 1, 9.0540905, 0.992822966507177, 0.6323529411764706
1, 1, 1, 1, 9.075196, 0.9928143712574851, 0.6341463414634146
1, 1, 1, 1, 9.09029, 0.9928057553956835, 0.6359223300970874
1, 1, 1, 1, 9.094804, 0.992797118847539, 0.6376811594202898
1, 1, 1, 1, 9.097373, 0.9927884615384616, 0.6394230769230769
1, 1, 1, 1, 9.099388, 0.9927797833935018, 0.6411483253588517
1, 1, 1, 1, 9.113403, 0.9927710843373494, 0.6428571428571429
1, 1, 1, 1, 9.119698, 0.9927623642943305, 0.6445497630331753
1, 1, 1, 1, 9.132138, 0.9927536231884058, 0.6462264150943396
1, 1, 1, 1, 9.137961, 0.992744860943168, 0.647887323943662
1, 1, 1, 1, 9.169553, 0.9927360774818402, 0.6495327102803738
1, 1, 1, 1, 9.171232, 0.9927272727272727, 0.6511627906976745
1, 1, 1, 1, 9.171776, 0.9927184466019418, 0.6527777777777778
1, 1, 1, 1, 9.177465, 0.9927095990279465, 0.6543778801843319
1, 1, 1, 1, 9.184211, 0.9927007299270073, 0.6559633027522935
1, 1, 3, 0, 9.194124, 0.9926918392204629, 0.6529680365296804
1, 1, 1, 1, 9.213761, 0.9939024390243902, 0.6545454545454545
1, 1, 1, 1, 9.234408, 0.9938949938949939, 0.6561085972850679
1, 1, 1, 1, 9.240612, 0.9938875305623472, 0.6576576576576577
1, 1, 1, 1, 9.240979, 0.9938800489596084, 0.6591928251121076
1, 1, 1, 1, 9.242282, 0.9938725490196079, 0.6607142857142857
1, 1, 1, 1, 9.249385, 0.9938650306748467, 0.6622222222222223
1, 1, 1, 1, 9.250854, 0.9938574938574939, 0.6637168141592921
1, 1, 1, 1, 9.251402, 0.993849938499385, 0.6651982378854625
1, 1, 1, 1, 9.258296, 0.9938423645320197, 0.6666666666666666
1, 1, 1, 1, 9.267483, 0.9938347718865598, 0.6681222707423581
1, 1, 1, 1, 9.271753, 0.9938271604938271, 0.6695652173913044
1, 1, 1, 1, 9.277996, 0.9938195302843016, 0.670995670995671
1, 1, 1, 1, 9.282998, 0.9938118811881188, 0.6724137931034483
1, 1, 1, 1, 9.28983, 0.9938042131350682, 0.6738197424892703
1, 1, 1, 1, 9.301686, 0.9937965260545906, 0.6752136752136753
1, 1, 1, 1, 9.328953, 0.9937888198757764, 0.676595744680851
1, 1, 1, 1, 9.331158, 0.9937810945273632, 0.6779661016949152
1, 1, 1, 1, 9.333714, 0.9937733499377335, 0.679324894514768
1, 1, 1, 1, 9.354886, 0.9937655860349127, 0.680672268907563
1, 1, 1, 1, 9.36064, 0.9937578027465668, 0.6820083682008368
1, 1, 1, 1, 9.364052, 0.99375, 0.6833333333333333
1, 1, 1, 1, 9.366406, 0.9937421777221527, 0.6846473029045643
1, 1, 1, 1, 9.367247, 0.993734335839599, 0.6859504132231405
1, 1, 1, 1, 9.374881, 0.9937264742785445, 0.6872427983539094
1, 1, 1, 1, 9.3826065, 0.9937185929648241, 0.6885245901639344
1, 1, 1, 1, 9.388145, 0.9937106918238994, 0.689795918367347
1, 1, 1, 1, 9.396725, 0.9937027707808564, 0.6910569105691057
1, 1, 1, 1, 9.3974495, 0.9936948297604036, 0.6923076923076923
1, 1, 1, 1, 9.399438, 0.9936868686868687, 0.6935483870967742
1, 1, 1, 1, 9.399575, 0.9936788874841972, 0.6947791164658634
1, 1, 1, 1, 9.40513, 0.9936708860759493, 0.696
1, 1, 1, 1, 9.4085865, 0.9936628643852978, 0.6972111553784861
1, 1, 4, 0, 9.423327, 0.9936548223350253, 0.6944444444444444
1, 1, 1, 1, 9.42341, 0.9949174078780177, 0.6956521739130435
1, 1, 1, 1, 9.427404, 0.9949109414758269, 0.6968503937007874
1, 1, 1, 1, 9.43045, 0.9949044585987261, 0.6980392156862745
1, 1, 1, 1, 9.437152, 0.9948979591836735, 0.69921875
1, 1, 1, 1, 9.440779, 0.9948914431673053, 0.7003891050583657
1, 1, 1, 1, 9.441803, 0.9948849104859335, 0.7015503875968992
1, 1, 1, 1, 9.444556, 0.9948783610755442, 0.7027027027027027
1, 1, 1, 1, 9.449645, 0.9948717948717949, 0.7038461538461539
1, 1, 1, 1, 9.460126, 0.9948652118100129, 0.7049808429118773
1, 1, 1, 1, 9.460808, 0.9948586118251928, 0.7061068702290076
1, 1, 1, 1, 9.462017, 0.9948519948519948, 0.7072243346007605
1, 1, 1, 1, 9.464749, 0.9948453608247423, 0.7083333333333334
1, 1, 1, 1, 9.46777, 0.9948387096774194, 0.7094339622641509
1, 1, 1, 1, 9.47485, 0.9948320413436692, 0.7105263157894737
1, 1, 1, 1, 9.475989, 0.9948253557567918, 0.7116104868913857
1, 1, 1, 1, 9.489873, 0.9948186528497409, 0.7126865671641791
1, 1, 1, 1, 9.499354, 0.9948119325551232, 0.7137546468401487
1, 1, 10, 0, 9.50439, 0.9948051948051948, 0.7111111111111111
1, 1, 3, 0, 9.511062, 0.9960988296488946, 0.7084870848708487
1, 1, 1, 1, 9.514096, 0.9973958333333334, 0.7095588235294118
1, 1, 1, 1, 9.514808, 0.9973924380704041, 0.7106227106227107
1, 1, 1, 1, 9.526511, 0.9973890339425587, 0.7116788321167883
1, 1, 1, 1, 9.527323, 0.9973856209150327, 0.7127272727272728
1, 1, 1, 1, 9.53058, 0.9973821989528796, 0.7137681159420289
