greater_than, category, ks, alpha
1, 1, 0.01225097790836105, 1.7165051725105451
1, 2, 0.005292047061849048, 1.9372100875455442
1, 3, 0.022126626446963615, 1.2123414321538606
1, 4, 0.007664234007837889, 1.88374419221094
1, 5, 0.009612317580612317, 1.8291553349564764
1, 6, 0.025492518976789058, 1.1388714229520618
1, 7, 0.012535880875493288, 1.7109939708369115
1, 8, 0.006589671457944646, 1.9129044103422854
1, 9, 0.007358513988526938, 1.8975219680947435
1, 10, 0.013798629531388218, 1.660918952758336
0, 1, 1.0, 3.5877330759963146e-16
0, 2, 1.0, 3.5877330759963146e-16
0, 3, 1.0, 3.5877330759963146e-16
0, 4, 0.25, 3.5877330759963146e-16
0, 5, 1.0, 3.5877330759963146e-16
0, 6, 1.0, 3.5877330759963146e-16
0, 7, 1.0, 3.5877330759963146e-16
0, 8, 1.0, 3.5877330759963146e-16
0, 9, 1.0, 3.5877330759963146e-16
0, 10, 1.0, 3.5877330759963146e-16
