dataset, predicted category, actual category, true_positive, score, gt confidence, lt confidence
1, 1, 1, 1, 2.9609063, 0.9648780487804878, 1.0
1, 1, 1, 1, 3.1989777, 0.96484375, 1.0
1, 1, 5, 0, 3.4322145, 0.9648093841642229, 0.6666666666666666
1, 1, 3, 0, 4.3599105, 0.9657534246575342, 0.5
1, 1, 6, 0, 4.691306, 0.9666993143976493, 0.4
1, 1, 4, 0, 4.884405, 0.9676470588235294, 0.3333333333333333
1, 1, 3, 0, 4.9912777, 0.9685966633954858, 0.2857142857142857
1, 1, 3, 0, 5.1336937, 0.9695481335952849, 0.25
1, 1, 1, 1, 5.614321, 0.9705014749262537, 0.3333333333333333
1, 1, 1, 1, 5.7142625, 0.9704724409448819, 0.4
1, 1, 9, 0, 5.737248, 0.9704433497536946, 0.36363636363636365
1, 1, 1, 1, 5.7406387, 0.9714003944773175, 0.4166666666666667
1, 1, 10, 0, 5.8054733, 0.9713721618953604, 0.38461538461538464
1, 1, 1, 1, 5.844041, 0.9723320158102767, 0.42857142857142855
1, 1, 1, 1, 6.1239605, 0.9723046488625123, 0.4666666666666667
1, 1, 7, 0, 6.266128, 0.9722772277227723, 0.4375
1, 1, 1, 1, 6.2996726, 0.9732408325074331, 0.47058823529411764
1, 1, 7, 0, 6.39116, 0.9732142857142857, 0.4444444444444444
1, 1, 1, 1, 6.3955355, 0.974180734856008, 0.47368421052631576
1, 1, 6, 0, 6.67363, 0.974155069582505, 0.45
1, 1, 1, 1, 6.6867886, 0.9751243781094527, 0.47619047619047616
1, 1, 1, 1, 6.7239914, 0.9750996015936255, 0.5
1, 1, 1, 1, 6.7794647, 0.9750747756729811, 0.5217391304347826
1, 1, 7, 0, 6.8082027, 0.9750499001996008, 0.5
1, 1, 1, 1, 6.902335, 0.9760239760239761, 0.52
1, 1, 1, 1, 6.9303613, 0.976, 0.5384615384615384
1, 1, 1, 1, 6.942044, 0.975975975975976, 0.5555555555555556
1, 1, 7, 0, 6.9754596, 0.9759519038076152, 0.5357142857142857
1, 1, 1, 1, 7.006837, 0.9769307923771314, 0.5517241379310345
1, 1, 10, 0, 7.0954466, 0.9769076305220884, 0.5333333333333333
1, 1, 4, 0, 7.182704, 0.9778894472361809, 0.5161290322580645
1, 1, 7, 0, 7.451736, 0.9788732394366197, 0.5
1, 1, 8, 0, 7.5475235, 0.9798590130916415, 0.48484848484848486
1, 1, 9, 0, 7.6011567, 0.9808467741935484, 0.47058823529411764
1, 1, 4, 0, 7.670254, 0.9818365287588294, 0.45714285714285713
1, 1, 9, 0, 7.7579975, 0.9828282828282828, 0.4444444444444444
1, 1, 1, 1, 7.955533, 0.9838220424671386, 0.4594594594594595
