dataset, predicted category, actual category, true_positive, score, gt confidence, lt confidence
1, 1, 9, 0, 2.6464298, 0.9187071498530852, 0.0
1, 1, 6, 0, 2.8068252, 0.9196078431372549, 0.0
1, 1, 10, 0, 3.1479645, 0.9205103042198234, 0.0
1, 1, 9, 0, 3.178718, 0.9214145383104125, 0.0
1, 1, 6, 0, 3.315147, 0.9223205506391348, 0.0
1, 1, 1, 1, 3.4736495, 0.9232283464566929, 0.16666666666666666
1, 1, 1, 1, 3.5118558, 0.9231527093596059, 0.2857142857142857
1, 1, 4, 0, 3.5224276, 0.9230769230769231, 0.25
1, 1, 1, 1, 3.625573, 0.9239881539980257, 0.3333333333333333
1, 1, 7, 0, 3.6926253, 0.9239130434782609, 0.3
1, 1, 1, 1, 3.7212756, 0.9248269040553907, 0.36363636363636365
1, 1, 1, 1, 3.7938867, 0.9247524752475248, 0.4166666666666667
1, 1, 6, 0, 3.9081242, 0.9246778989098117, 0.38461538461538464
1, 1, 1, 1, 4.008332, 0.9255952380952381, 0.42857142857142855
1, 1, 9, 0, 4.1016326, 0.9255213505461768, 0.4
1, 1, 6, 0, 4.239851, 0.9264413518886679, 0.375
1, 1, 9, 0, 4.3424025, 0.9273631840796019, 0.35294117647058826
1, 1, 8, 0, 4.3741684, 0.9282868525896414, 0.3333333333333333
1, 1, 6, 0, 4.3928733, 0.9292123629112662, 0.3157894736842105
1, 1, 8, 0, 4.4482675, 0.9301397205588823, 0.3
1, 1, 7, 0, 4.485598, 0.9310689310689311, 0.2857142857142857
1, 1, 6, 0, 4.5163374, 0.932, 0.2727272727272727
1, 1, 4, 0, 4.533458, 0.9329329329329329, 0.2608695652173913
1, 1, 6, 0, 4.554038, 0.9338677354709419, 0.25
1, 1, 8, 0, 4.598148, 0.9348044132397192, 0.24
1, 1, 7, 0, 4.605816, 0.9357429718875502, 0.23076923076923078
1, 1, 6, 0, 4.6421013, 0.9366834170854271, 0.2222222222222222
1, 1, 4, 0, 4.655078, 0.937625754527163, 0.21428571428571427
1, 1, 8, 0, 4.6869497, 0.9385699899295066, 0.20689655172413793
1, 1, 6, 0, 4.709021, 0.9395161290322581, 0.2
1, 1, 6, 0, 4.7255225, 0.9404641775983855, 0.1935483870967742
1, 1, 1, 1, 4.796139, 0.9414141414141414, 0.21875
1, 1, 6, 0, 4.8891654, 0.9413549039433772, 0.21212121212121213
1, 1, 10, 0, 4.906645, 0.9423076923076923, 0.20588235294117646
1, 1, 4, 0, 5.056382, 0.9432624113475178, 0.2
1, 1, 6, 0, 5.057442, 0.9442190669371197, 0.19444444444444445
1, 1, 3, 0, 5.064033, 0.9451776649746193, 0.1891891891891892
1, 1, 6, 0, 5.0778303, 0.9461382113821138, 0.18421052631578946
1, 1, 6, 0, 5.1179357, 0.9471007121057986, 0.1794871794871795
