greater_than, category, ks, alpha
1, 1, 0.012285735304936374, 1.7101690401144474
1, 2, 0.021118080774733206, 1.1792664724593669
1, 3, 0.008355251224378746, 1.8738971564996183
1, 4, 0.023967415694319705, 1.0894578344722812
1, 5, 0.01153681914793514, 1.7710328174638053
1, 6, 0.015025915207403373, 1.6700692835115283
1, 7, 0.012563398674777959, 1.6945216160854684
1, 8, 0.008579977357269897, 1.8516047065955386
1, 9, 0.012693235002127268, 1.7326571070546368
1, 10, 0.01737333845281852, 1.4411724679391347
0, 1, 1.0, 3.5877330759963146e-16
0, 2, 1.0, 3.5877330759963146e-16
0, 3, 0.5, 3.5877330759963146e-16
0, 4, 1.0, 3.5877330759963146e-16
0, 5, 0.35555555555555557, 3.5877330759963146e-16
0, 6, 1.0, 3.5877330759963146e-16
0, 7, 0.33333333333333337, 3.5877330759963146e-16
0, 8, 1.0, 3.5877330759963146e-16
0, 9, 0.12337662337662342, 2.591428027358777e-6
0, 10, 0.35714285714285715, 3.5877330759963146e-16
