dataset, predicted category, actual category, true_positive, score, gt confidence, lt confidence
1, 1, 9, 0, 2.390071, 0.9270142180094787, 0.0
1, 1, 7, 0, 2.8366039, 0.9278937381404174, 0.0
1, 1, 1, 1, 2.9673746, 0.9287749287749287, 0.3333333333333333
1, 1, 1, 1, 2.9783974, 0.9287072243346007, 0.5
1, 1, 9, 0, 3.0120208, 0.928639391056137, 0.4
1, 1, 9, 0, 3.1535761, 0.9295238095238095, 0.3333333333333333
1, 1, 6, 0, 3.2773657, 0.9304099142040038, 0.2857142857142857
1, 1, 8, 0, 3.3059435, 0.9312977099236641, 0.25
1, 1, 6, 0, 3.4014888, 0.9321872015281757, 0.2222222222222222
1, 1, 6, 0, 3.5456758, 0.9330783938814532, 0.2
1, 1, 7, 0, 3.7155445, 0.9339712918660287, 0.18181818181818182
1, 1, 1, 1, 3.7591155, 0.9348659003831418, 0.25
1, 1, 6, 0, 3.773477, 0.9348034515819751, 0.23076923076923078
1, 1, 10, 0, 3.7907505, 0.935700575815739, 0.21428571428571427
1, 1, 10, 0, 3.820752, 0.9365994236311239, 0.2
1, 1, 10, 0, 3.9227183, 0.9375, 0.1875
1, 1, 3, 0, 4.0605397, 0.9384023099133783, 0.17647058823529413
1, 1, 3, 0, 4.287271, 0.9393063583815029, 0.16666666666666666
1, 1, 6, 0, 4.3400607, 0.940212150433944, 0.15789473684210525
1, 1, 9, 0, 4.3692174, 0.9411196911196911, 0.15
1, 1, 6, 0, 4.5299664, 0.9420289855072463, 0.14285714285714285
1, 1, 6, 0, 4.5836005, 0.9429400386847195, 0.13636363636363635
1, 1, 1, 1, 4.590114, 0.9438528557599225, 0.17391304347826086
1, 1, 6, 0, 4.670683, 0.9437984496124031, 0.16666666666666666
1, 1, 7, 0, 4.6911535, 0.944713870029098, 0.16
1, 1, 10, 0, 4.7142825, 0.945631067961165, 0.15384615384615385
1, 1, 4, 0, 4.7199144, 0.9465500485908649, 0.14814814814814814
1, 1, 3, 0, 4.7836633, 0.9474708171206225, 0.14285714285714285
1, 1, 9, 0, 4.8398666, 0.9483933787731256, 0.13793103448275862
1, 1, 6, 0, 4.8872447, 0.949317738791423, 0.13333333333333333
1, 1, 6, 0, 4.9349384, 0.9502439024390243, 0.12903225806451613
1, 1, 1, 1, 4.9625998, 0.951171875, 0.15625
1, 1, 4, 0, 4.9653883, 0.9511241446725318, 0.15151515151515152
1, 1, 1, 1, 4.973645, 0.952054794520548, 0.17647058823529413
1, 1, 9, 0, 4.9954996, 0.9520078354554359, 0.17142857142857143
1, 1, 1, 1, 5.03641, 0.9529411764705882, 0.19444444444444445
